2-2023-11	《綿花糖2號》 (《童文匯》2023年11月) - 兒童文學	兒童文學	
2017-07-27	《為什麼俄羅斯人不喜歡笑？》 (《 澳門日報》-《開元成長專欄》2017-07-27) - 專欄	專欄	與孩子相處時，大人總是會有很多看不過眼的地方，例如我們要孩子叫人，孩子卻不聽話。其實這並不一定是孩子不好，祇是我們大人不了解孩子的心理，猶如我們不明白外國人的文化。我最近與太太和女兒開元到了俄羅斯旅遊，對此小有體會，在這裡和大家談談文化差異。今日遇見同事，她談起剛從俄羅斯旅遊回來，沒見過俄羅斯人的笑容。我也有類似印象，卻想起兩個例外的事件。 第一次是乘飛機時
2017-08-24	《什麼是自由寫作？》 (《 澳門日報》-《開元成長專欄》2017-08-24) - 專欄	專欄	這個暑假，我見女兒開元有很多時間，便要她每天作一篇文，題材不限，字數不限，中文英文都可以。 第一天，她用英文寫，講的是她早上睡過了頭，趕去上學卻遇上很多阻滯，便遲到了，卻得到老師原諒。但她竟然沒帶功課，便被老師責駡和同學取笑！我覺得內容古怪，又發現很多文法錯誤。但我沒有批評，並告訴她這故事挺有新意。 第二天，她問可不可以寫信。我說可以。她寫了一封英文信給一位
2017-09-21	《孩子要關心立法會選舉嗎？》 (《 澳門日報》-《開元成長專欄》 2017-09-21) - 專欄	專欄	回歸前的幾年，有位同事參加立法會選舉，請我做提名人，我同意了，自此便每屆都去投票。回歸之後，朋友當中參選的人愈來愈多，我便開始留意選情，並出席選舉活動。 十二年前，女兒開元才一歲多時，我便推着寶寶車帶她去看選舉活動，諸如造勢大會。我當然明白她是看不懂的，祇是平日很少陪她，假日既想陪她又要出席朋友的競選活動，便乾脆帶着她一起去吧！此後三屆的選舉，我也都帶她一起
2017-09-62	小說《老虎與我》 (《澳門筆匯》2017-09 第62期) - 兒童文學	兒童文學	老虎懷恩今天，愛德小學的大門，走進一位個子高大的老牧師。拄着雨傘作拐杖，步履有點不穩，身旁有位護士照顧。他就是老校長林懷恩牧師，十多年前從這裡退休後，便一直在倫敦居住。在門口當值的楊老師一見到老牧師，便很興奮地叫“老虎牧師”，並上前與他握手擁抱。  原來“老虎牧師”正是林牧師的外號，他以前聲若洪鐘，似老虎咆哮一樣，學生便叫他老虎牧師。楊老師正是他以前的學生呢
2017-1-2-48	《什麼是小孩子的敘事療法？》 (《橙報》-《學生事務長的校園童話》 2017年1-2月 第48期) - 校園童...	校園童話	神敬大學有很多不開心的學生，他們請了友校的學生事務長小孩子來講“敘事療法”，希望對學生有所幫助。 今天，小孩子來到教室時，見到一隻苦着臉的肥貓咪站在門口。這肥貓咪一身破爛的天使服飾，正拿着一碟飯在吃。小孩子感到這是一隻很孤獨的貓咪。 小孩子說：“貓貓，為什麼拿着碟子在這裡吃呢？”天貓說：“我在食物天堂付給姨姨廿六塊，她就給了我這碟子。”“那為什麼要站着吃呢？
2017-10-19	《與孩子說寶寶話嗎？》 (《 澳門日報》-《開元成長專欄》2017-10-19) - 專欄	專欄	我小時候很喜歡看卡通片《Q太郎》，主角Q太郎的弟弟叫O太郎，O太郎是個很可愛的小寶寶，只是不斷重複講“巴基啦打”，但Q太郎卻聽得懂他的意思。這就是“寶寶話”。有些大人很正經，反對講“寶寶話”，但我覺得有些寶寶詞彙是可以講的，這是親子間的密碼，也是親子間的樂趣！ 我最近為大學生報刋寫了一個校園童話，故事的主角叫豬仔，他與善長叔叔來到校園，看了一場《月餅英雄》的
2017-11-12-52	《月餅英雄》 (《橙報》-《學生事務長的校園童話》 2017年11-12月 第52期) - 校園童話	校園童話	中秋節前，神敬大學的湖邊，學生事務長小孩子和一群書院的學生們穿着古代服飾，正在排練古裝音樂劇《月餅英雄》。排演這齣劇是為給天鴿風災後籌款。 突然，湖中走出兩個身穿古服的人來! 小孩子想起昨晚龍王報夢，說會有善長來支持義演，便向年長的一位打招呼：「善長叔叔，您好？」 善長叔叔相貌俊朗，文質彬彬，拱手行禮請安道：「兄台，請問學務大人何在？」「我就是呀!」「拜見學
2017-11-16	《學習數學有什麼意義？》 (《 澳門日報》-《開元成長專欄》 2017-11-16) - 專欄	專欄	女兒開元升上初二後，學代數和幾何時都感到困難，近來經常要我教她。昨天早上，開元拿着幾何功課問我，面帶苦惱地說，數學太難。我便與寶寶聊聊天，開解一下她。 我說，數學是基礎訓練，鍛煉智力，效用日後才會見到。跟着我提起澳大的啦啦隊比賽。看看冠軍隊的訓練片段，是高強度的基本動作和體能訓練，與跳舞有什麼關係呢？再看看比賽照片，姐姐作出高難度的抬舉和高空動作時，竟然可以
2017-12-14	《什麼是科學的童話？》 (《 澳門日報》-《開元成長專欄》2017-12-14) - 專欄	專欄	女兒開元唸初二，學習科學知識。我偶爾會為她講講科學的童話，希望令科學變得有趣一點。 開元，科學理論往往被認為是正確的，可是，隨着科學的進步，有些科學理論也會被推翻。究竟能否確保科學理論是真的？很聰明的哲學家波普認為不可能！他甚至認為，科學之所以為科學，就是因為有可能被實驗所推翻，可能被證偽！ 先要解釋一下什麽是科學方法：首先是從現實中觀測或歸納，推測出一個理
2017-12	《信耶穌得金牛》 (《童一枝筆》2017-12) - 兒童文學	兒童文學	很多年前，澳門的路環村有個叫皮老板的人，他在村中是最有錢的，卻並不快樂。他很貪心，總想要得到更多的錢，成為澳門最有錢的人。皮老板很討厭窮人，更不滿教堂的羅神父，因為他救濟窮人。 一天，皮老板路過農地，見到農夫大星帶着黃牛在耕作。皮老板心中大駡，豈有此理，大星這麽窮，竟還能這麽開心地唱歌! 皮老板很不滿，便想要作弄一下大星，令他傷心難過。他心生一計，便暗中派人
